,Country,Commodity,Commodity (Type),Year,Exports (Extra-EU) (THOUSAND TONS),Exports (Intra-EU) (THOUSAND TONS),Imports (Extra-EU) (THOUSAND TONS),Imports (Intra-EU) (THOUSAND TONS),Total Exports (THOUSAND TONS),Total Imports (THOUSAND TONS),Area (SQ.KM.),Total Population (THOUSAND PEOPLE)
161,Austria,BUTTERMILK,DAIRY,2016,0.090329,11.599457,0.00332,13.342252,11.689786,13.345572,83871,8700.233
162,Austria,BUTTERMILK,DAIRY,2017,0.106653,21.547431,0.001575,13.660947,21.654084,13.662522000000001,83871,8772.74
163,Austria,BUTTERMILK,DAIRY,2018,0.083608,21.0426909999999,0.000150999999999999,10.792036,21.1262989999999,10.792187,83871,8822.252
164,Austria,BUTTERMILK,DAIRY,2019,0.027571,18.843584,0.000126,11.0267749999999,18.871154999999998,11.0269009999999,83871,8858.773
165,Austria,BUTTERMILK,DAIRY,2020,0.088914,36.059496,0.000152,11.738597,36.148410000000005,11.738749,83871,8901.106
166,Austria,BUTTERMILK,DAIRY,2021,0.216622,43.9669719999999,0.00521699999999999,12.900663,44.1835939999999,12.90588,83871,8914.448
167,Austria,BUTTERMILK,DAIRY,2022,0.288346,49.433043,0.0,14.224796,49.721388999999995,14.224796,83871,8929.716
168,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2002,1.2374,42.32,1.13919999999999,7.366386,43.5574,8.50558599999999,83871,8059.591
169,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2003,0.6755,37.6857,1.2825,8.29510199999999,38.3612,9.57760199999999,83871,8098.393
170,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2004,0.5594,46.8735999999999,1.11259999999999,9.134,47.43299999999989,10.24659999999999,83871,8141.815
171,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2005,0.6376,44.0036,1.0269,7.9205,44.6412,8.9474,83871,8200.618
172,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2006,0.717299999999999,38.5416,1.4073,8.4184,39.258900000000004,9.8257,83871,8253.451
173,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2007,0.485,18.8990999999999,0.6137,10.1554,19.3840999999999,10.7691,83871,8282.076
174,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2008,0.435899999999999,23.6969,0.5185,11.575,24.1328,12.093499999999999,83871,8307.368
175,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2009,0.3649,17.4567999999999,0.498399999999999,11.4789,17.8216999999999,11.977299999999998,83871,8334.895
176,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2010,0.362548999999999,15.0189519999999,0.498191,11.225771,15.381500999999899,11.723962,83871,8350.976
177,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2011,0.416009,9.408572,0.466881,13.5753349999999,9.824581,14.0422159999999,83871,8374.682
178,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2012,0.430451,12.573611,0.537041,11.177265,13.004062,11.714306,83871,8407.717
179,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2013,0.324978999999999,15.9985289999999,0.522753,14.3454959999999,16.323507999999897,14.8682489999999,83871,8451.556
180,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2014,0.231262,15.400666,0.368753,10.61238,15.631927999999998,10.981133,83871,8507.522
181,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2015,0.253218,14.313465,0.366403,10.667129,14.566683000000001,11.033532,83871,8584.609
182,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2016,0.667654,16.383667,0.30504,6.073484,17.051320999999998,6.378524,83871,8700.233
183,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2017,1.101245,12.399803,0.161273,5.95746499999999,13.501048,6.11873799999999,83871,8772.74
184,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2018,1.165381,13.477217,0.174210999999999,5.44943199999999,14.642598,5.623642999999989,83871,8822.252
185,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2019,1.39845099999999,10.324378,0.143812,7.72984099999999,11.72282899999999,7.873652999999989,83871,8858.773
186,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2020,0.420332,10.823092,0.104131,6.50267699999999,11.243424000000001,6.606807999999989,83871,8901.106
187,Austria,CREAM FOR DIRECT CONSUMPTION,DAIRY,2021,0.093614,12.616948,0.08932,6.57500799999999,12.710562000000001,6.66432799999999,83871,8914.448
